password,combined_strength,password_probability,zxcvbn_strength
44349517,1.9999999995375526,2.3122367909245156e-10,2
5784998,1.9999999942132254,2.8933873075231986e-09,2
huaihaockeng,3.99999999998909,2.7275113591296307e-12,4
10556324390,2.99999999999968,1.0673300215651924e-13,3
lidane,0.9999999879763317,1.2023668283234201e-08,1
m3out56y,1.999999999999967,1.651773031232425e-14,2
82jren22,1.9999999999991367,4.3170827156158165e-13,2
d7341989,1.9999999998371132,8.144335900128752e-11,2
60412036,0.9999999996773091,3.2269090177727833e-10,1
hanie90,1.9999999863232976,6.8383512186187545e-09,2
beymajin08,2.999999999999959,1.3554074685263439e-14,3
valeckee,1.9999999995911177,2.0444108905781633e-10,2
88865333,1.9999999969075002,1.5462499058926937e-09,2
54millerio,2.9999999999880087,3.99697245787034e-12,3
lacamerasoux,2.9999999999999987,4.758560688060919e-16,3
ankfanh,1.9999999998541231,7.293839837663185e-11,2
hott2lack,2.999999999987309,4.230435012714251e-12,3
bju99rfq,1.9999999999999745,1.2747867879033849e-14,2
sysie0401,2.999999999979378,6.874088537972556e-12,3
8227,0.9999996951073626,3.0489263735944405e-07,1
aaresa,0.9999999965190876,3.480912447173523e-09,1
BARTAREKTOO,2.9999999999999987,4.856456520939835e-16,3
kd9dx1b,1.9999999999999445,2.771261579861007e-14,2
lapra1442,2.9999999999909637,3.012200515059571e-12,3
e3396856079,3.9999999999999973,7.017457797951841e-16,4
PUITSTON,1.9999999999965872,1.7063620481871933e-12,2
bry2002,0.9999999974543026,2.5456974306337088e-09,1
meizes887,2.999999999998517,4.942222846249233e-13,3
aeda594360,2.999999999999991,2.898419055287417e-15,3
921896,0.9999999692989654,3.070103460345308e-08,1
dds881022,1.9999999999061264,4.693683983147956e-11,2
nsuszi,0.999999999463498,5.365018984626602e-10,1
zhao5884,1.9999999997271098,1.3644502194765096e-10,2
xiaowei8u520,3.9999999994700413,1.3248969976675795e-10,4
bscrbkdr86089,4.0,4.630361078157669e-22,4
wmy1314365,2.999999999992866,2.3778771920252018e-12,3
0643143509,2.9999999999945968,1.8010786004968304e-12,3
mpjw2513,1.9999999999987017,6.491018660070846e-13,2
a198985640,2.9999999999683546,1.0548476155058939e-11,3
88809553,1.9999999991937643,4.031178446606276e-10,2
binciefei,2.999999999937854,2.0715172632801426e-11,3
35581239,1.9999999989945367,5.027316340999732e-10,2
fygbnkb,1.9999999999993787,3.1066691103323607e-13,2
9170837,0.999999998572907,1.4270929993287496e-09,1
guotahong,2.9999999992528004,2.490664896548367e-10,3
23665339,1.99999999855819,7.209050023604391e-10,2
soarlynega,2.999999999999927,2.4168353814557272e-14,3
nergbidkreat,4.0,2.639099271630274e-18,4
0105430274,2.999999999918753,2.7082376272136166e-11,3
2981997770,1.9999999999993658,3.1705725284797426e-13,2
gozzam418,2.9999999999994995,1.669038849185303e-13,3
03111182823,2.9999999999949827,1.6724921144198324e-12,3
wolson5114,2.9999999999985727,4.758483646179201e-13,3
bmpasswug11222,4.0,3.478605443997013e-19,4
123456d46lm,1.9999999999993836,3.0818831644671696e-13,2
8512495018,2.999999999993761,2.0796331236944132e-12,3
wendram123456,2.9999999998264846,5.783850134943869e-11,3
Adstread98,2.999999999993167,2.2777437488213925e-12,3
ggsol10417,2.999999999999989,3.630606828630006e-15,3
66489406,1.9999999992909552,3.545224669387892e-10,2
19824080141,2.999999999994593,1.8022110496659915e-12,3
gufeng28664626,4.0,2.766522102295852e-17,4
zj3061859,1.9999999999959288,2.03563468165191e-12,2
020420896,1.9999999998860238,5.698805663478801e-11,2
950818,0.9999997446906264,2.5530937364237616e-07,1
05270979,1.9999999973809135,1.3095432516152528e-09,2
9086126,1.9999999963013535,1.8493232500915724e-09,2
Kenthimps14,2.999999999999986,4.766651229135737e-15,3
yahun959,1.999999999989063,5.4685613676275224e-12,2
6411197,0.9999999838151705,1.6184829476628693e-08,1
cye065205,2.999999999999484,1.7207970345965024e-13,3
2p23665k,1.9999999999998928,5.357033108668689e-14,2
1207051886,1.9999999999853968,7.301564734774058e-12,2
Mason209,0.9999999999839803,1.601973241560639e-11,1
041984,0.9999992912878497,7.087121502991067e-07,1
7202075,0.9999999971338152,2.866184845018438e-09,1
ewisin25,1.999999999959781,2.0109507808951932e-11,2
pollemeucker72,3.9999999999999996,8.019520670913034e-17,4
poixmers14911,4.0,2.100283126395123e-18,4
11liemetos,2.9999999999999263,2.4559496688940363e-14,3
sabandas,1.9999999912599211,4.370039441425888e-09,2
tafrit7,1.999999999981809,9.095505598688547e-12,2
123456789_,0.9999989594911085,1.040508891492209e-06,1
72fc7w,0.9999999999862437,1.375635282768739e-11,1
125352052,1.9999999997963827,1.0180872117571127e-10,2
DHAFJLANSER,4.0,2.7151692409434576e-17,4
PADINDHE,1.9999999999951334,2.4332714662622656e-12,2
ajetwans,1.9999999999868543,6.57289847549869e-12,2
mzrahy2mwzdiq,4.0,4.746161606590796e-26,4
spaticum,1.9999999998430862,7.845689375951537e-11,2
10961,0.9999999033158957,9.668410427821073e-08,1
59961314512592,4.0,2.7141470111424645e-17,4
nages1981,1.9999999993381552,3.309223728376054e-10,2
boyarydognice,3.9999999999999982,4.583976609719967e-16,4
jp85416,1.999999999810333,9.483346052885366e-11,2
barto2007,0.999999994558892,5.441108008596984e-09,1
korroiz78,2.9999999999995386,1.5379335988312953e-13,3
5bx9efu,1.9999999999998368,8.154649102243977e-14,2
559826,0.9999999642328952,3.576710483343959e-08,1
hackeko,1.999999996422292,1.788853953854641e-09,2
alzam181,1.9999999999663263,1.6836823601984463e-11,2
fortuphin1,2.9999999999969633,1.0122915960336654e-12,3
ljbluckm,1.999999999993842,3.078947253404296e-12,2
squezincca,2.999999999999947,1.768417599585636e-14,3
0610413830,2.999999999962294,1.256859200049476e-11,3
dz123,0.9999999038037544,9.619624563583784e-08,1
klb702802,1.9999999999997855,1.0723869437855721e-13,2
heddiveraik,3.999999999999975,6.2358311466977415e-15,4
lxc7001823,2.999999999999642,1.19392017973452e-13,3
niesuirompiro,4.0,1.4303327978810218e-18,4
ghl142690,2.999999999996678,1.1072945945572732e-12,3
4appieine,2.999999999999284,2.387169780425358e-13,3
78bragen,1.9999999994599058,2.700470957961443e-10,2
mezllyks,1.9999999999999407,2.963695098796154e-14,2
198012046913,2.999999999971923,9.359038717626778e-12,3
7cbutstas,2.9999999999988245,3.9177314821101095e-13,3
gg66581200,2.9999999999998073,6.414072967414822e-14,3
bille43,0.9999999883244399,1.1675560074309033e-08,1
7533471,0.9999999972351392,2.764860784765233e-09,1
cablay00274,3.9999999999999964,9.218046747940553e-16,4
rssthp,0.9999999999807015,1.929846213388764e-11,1
alyouppry,2.9999999999993276,2.2412563612742714e-13,3
woainiww,1.9999999643963946,1.7801802698613756e-08,2
nirgabo,1.999999999656932,1.7153399534119984e-10,2
85354200,1.999999996318897,1.8405514889963115e-09,2
dunny08,0.9999999735269469,2.647305308300929e-08,1
woodheart,0.9999999969620448,3.0379552207193683e-09,1
deadlove,0.9999999691370292,3.086297084564649e-08,1
e0k1ul57,1.999999999999983,8.541724185601174e-15,2
jortinger,1.9999999980698695,9.650652499360035e-10,2
bigolo,0.9999999573389431,4.266105690930999e-08,1
wsj7267,1.9999999999445708,2.771464134576629e-11,2
2007556360,2.999999999973032,8.989332715703124e-12,3
19773029,0.9999999894348175,1.0565182506638848e-08,1
icwellou,1.9999999999696447,1.5177626516704734e-11,2
00679,0.9999999554005328,4.459946723045505e-08,1
pcmbl1em70405,4.0,3.310964582231366e-22,4
ludens123,2.9999999986231796,4.58940108138961e-10,3
marko012,1.9999999917704683,4.114765861373826e-09,2
vbtd81,0.9999999999869893,1.3010672400559642e-11,1
woaishihui,2.9999995272725215,1.575758261651572e-07,3
matcuis23,2.9999999999906892,3.1035408618040883e-12,3
tspc12,0.9999999995303637,4.696363853362584e-10,1
Dwerry01,1.9999999999153955,4.230225891799222e-11,2
anchberts44,3.9999999999999605,9.835059639796712e-15,4
323256,0.9999999472838148,5.271618519486765e-08,1
scambordent,2.9999999999978972,7.008416199813516e-13,3
1391979521,1.9999999999510154,2.4492257180708243e-11,2
3p2largo,1.9999999999998783,6.085404532715777e-14,2
b0coullas,2.99999999999635,1.2167010021019165e-12,3
16021605,0.9999999957911405,4.208859483156857e-09,1
huangaiyu19837,3.9999999999994778,1.3054244100627055e-13,4
wlawki,0.9999999996316351,3.6836492189884495e-10,1
lovebacolo,2.999999999941781,1.940638622022206e-11,3
uuwzjtdef,2.9999999999999996,8.053051925967973e-17,3
gpitja,0.9999999999530069,4.6993076097123776e-11,1
lihang88081228,3.999999999993545,1.613742776560012e-12,4
MANCOL,0.9999999979797876,2.0202124417778577e-09,1
eimacels00,2.9999999999998908,3.6438036019482284e-14,3
spoketing,1.9999999962404549,1.8797725598318493e-09,2
35p431pc,1.9999999999999782,1.091147757949695e-14,2
